Fehezanteny,Sokajinteny
"""Tamin'ny voalohany Andriamanitra nahary ny lanitra sy ny tany.""",Mpampiankina Mpanoritra Tambinteny Anarana Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Ary ny tany dia tsy nisy endrika sady foana; ary aizina no tambonin'ny lalina.""",Mpampitohy Mpanoritra Anarana Matoanteny Tambinteny Matoanteny Anarana Mpampitohy Mpamaritra Mpampitohy Matoanteny Kianteny Tambinteny Mpanoritra Mpamaritra 
"""Ary ny fanahin'Andriamanitra nanomba tambonin'ny rano.""",Mpampitohy Mpanoritra Anarana Anarana Matoanteny Mpamaritra Mpanoritra Anarana
"""Ary Andriamanitra nanao hoe: Misia mazava; dia nisy mazava.""",Mpampitohy Anarana Matoanteny Tambinteny Matoanteny Anarana Mpampitohy Matoanteny Anarana
"""Ary hitan'Andriamanitra fa tsara ny mazava; ary nampisarahin'Andriamanitra ny mazava sy ny maizina.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Mpanoritra Anarana Mpampitohy Matoanteny Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana 
"""Ary Andriamanitra nanao ny mazava hoe andro; ary ny maizina nataony hoe alina.""",Mpampitohy Anarana  Matoanteny Mpanoritra Anarana Tambinteny Anarana Mpampitohy Mpanoritra Anarana Matoanteny Tambinteny Anarana
"""Dia nisy hariva, ary nisy maraina, andro voalohany izany.""",Mpampitohy Matoanteny Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo 
"""Ary Andriamanitra nanao hoe: Misia habakabaka eo anelanelan'ny rano; ary aoka hampisaraka ny rano amin'ny rano izy.""",Mpampitohy Anarana Matoanteny Tambinteny Matoanteny Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Tenim-piotanana Matoanteny Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpisolo 
"""Ary Andriamanitra nanao ny habakabakaka ka nampisaraka ny rano ambanin'ny habakabaka tamin'ny rano ambonin'ny habakabaka; dia nisy izany.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpampitohy Matoanteny Mpisolo
"""Ary Andriamanitra nanao ny habakabaka hoe lanitra.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Tambinteny Anarana
"""Dia nisy hariva, ary nisy maraina, andro faharoa izany.""",Mpampitohy Matoanteny Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo 
"""Ary Andriamanitra nanao hoe : Aoka hiangona ny rano eny ambanin'ny lanitra ho eo amin'ny fitoerana iray, ary aoka hiseho ny maina; dia nisy izany.""",Mpampitohy Anarana Matoanteny Tambinteny Tenim-piotanana Matoanteny Mpanoritra Anarana Tambinteny Mpampiankina Mpanoritra Anarana Kianteny Tambinteny Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Tenim-piotanana Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Mpisolo
"""Ary Andriamanitra nanao ny maina hoe tany; ary ny rano tafangona nataony hoe ranomasina.""",Mpampitohy Anarana Matoanteny Mpanoritra Mpamaritra Tambinteny Anarana Mpampitohy Mpanoritra Anarana Matoanteny Matoanteny Tambinteny Anarana
"""Ary hitan'Andriamanitra fa tsara izany.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Mpisolo
"""Ary Andriamanitra nanao hoe: Aoka ny tany haniry ahitra sy anana mamoa ary hazo fihinam-boa izay mamoa, samy araka ny karazany avy, ka manam-boa ao aminy, eny ambonin'ny tany; dia nisy izany.""",Mpampitohy Anarana Matoanteny Tambinteny Tenim-piotanana Mpanoritra Anarana Matoanteny Anarana Mpampitohy Anarana Matoanteny Mpampitohy Anarana Matoanteny Anarana Tambinteny Matoanteny Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Kianteny Matoanteny Anarana Tambinteny Mpampiankina Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Matoanteny Mpisolo
"""Ary ny tany naniry ahitra sy anana mamoa samy araka ny karazany avy, ary hazo mamoa izay manam-boa ao aminy, samy araka ny karazany avy.""",Mpampitohy Mpanoritra Anarana Matoanteny Anarana Mpampitohy Anarana Matoanteny Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Anarana Matoanteny Mpisolo Matoanteny Anarana Tambinteny Mpampiankina Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra
"""Ary hitan'Andriamanitra fa tsara izany.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Mpisolo
"""Dia nisy hariva, ary nisy maraina, andro fahatelo izany.""",Mpampitohy Matoanteny Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo
"""Ary Andriamanitra nanao hoe: Misia fahazavana eny amin'ny habakabaky ny lanitra hampisaraka ny andro sy ny alina; ary aoka ho famantarana sy ho fotoana ary ho andro sy taona ireo.""",Mpampitohy Anarana Matoanteny Tambinteny Matoanteny Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Tenim-piotanana Kianteny Anarana Mpampitohy Kianteny Anarana Mpampitohy Kianteny Anarana Mpampitohy Anarana Mpisolo 
"""Ary aoka ho fanazavana eny amin'ny habakabaky ny lanitra izy hanazava eny ambonin'ny tany; dia nisy izany.""",Mpampitohy Tenim-piotanana Kianteny Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Mpisolo Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Matoanteny Mpisolo  
"""Ary Andriamanitra nanao ny fanazavana roa lehibe, dia ny fanazavana lehibe ho mpanapaka ny andro ary ny fanazavana kely ho mpanapaka ny alina sy ny kintana.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpamaritra Mpamaritra Mpampitohy Mpanoritra Anarana Mpamaritra Kianteny Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpamaritra Kianteny Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Ary Andriamanitra nametraka azy teny amin'ny habakabaky ny lanitra hanazava eny ambonin'ny tany, sy ho mpanapaka ny andro sy ny alina, ary hampisaraka ny mazava sy ny maizina.""",Mpanoritra Anarana Matoanteny Mpisolo Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Tambinteny Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Matoanteny Mpanoritra Matoanteny Mpampitohy Mpanoritra Anarana
"""Ary hitan'Andriamanitra fa tsara izany.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Mpisolo
"""Dia nisy hariva, ary nisy maraina, andro fahefatra izany.""",Mpampitohy Matoanteny Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo
"""Ary Andriamanitra nanao hoe: Aoka ny rano ho be zava-manan'aina; ary aoka hisy vorona hanidina ambonin'ny tany eny amin'ny habakabaky ny lanitra.""",Mpampitohy Anarana Matoanteny Tambinteny Tenim-piotanana Mpanoritra Anarana Kianteny Mpamaritra Anarana Matoanteny Anarana Mpampitohy Tenim-piotanana Matoanteny Anarana Matoanteny Tambinteny Mpanoritra Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpanoritra Anarana
"""Ary Andriamanitra nahary ny biby vaventy anaty rano sy ny zava-manan'aina mihetsiketsika rehetra, izay efa betsaka ao amin'ny rano, samy araka ny karazany avy, ary ny voro-manidina rehetra, samy araka ny karazany avy.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpamaritra Tambinteny Anarana Mpampitohy Mpanoritra Anarana Matoanteny Anarana Matoanteny Mpamaritra Mpisolo Tambinteny Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Matoanteny Mpamaritra Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra  
"""Ary hitan'Andriamanitra fa tsara izany.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Mpisolo
"""Ary Andriamanitra nitso-drano azy hoe: Maroa anaka sy mihabetsaha ary mamenoa ny rano ao amin'ny ranomasina; ary aoka ny vorona hihamaro eny ambonin'ny tany.""",Mpampitohy Anarana Matoanteny Anarana Mpisolo Tambinteny Mpamaritra Anarana Mpampitohy Matoanteny Mpampitohy Matoanteny Mpanoritra Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Tenim-piotanana Mpanoritra Anarana Matoanteny Tambinteny Tambinteny Mpanoritra Anarana
"""Dia nisy ny hariva, ary nisy maraina, andro fahadimy izany.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo
"""Ary Andriamanitra nanao hoe: Aoka ny tany hamoaka zava-manan'aina samy araka ny karazany avy, dia biby fiompy sy biby mandady sy mikisaka ary bibi-dia, samy araka ny karazany avy; dia nisy izany.""",Mpampitohy Anarana Matoanteny Tambinteny Tenim-piotanana Mpanoritra Anarana Matoanteny Anarana Matoanteny Anarana Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Anarana Anarana Mpampitohy Anarana Matoanteny Mpampitohy Matoanteny Mpampitohy Anarana Anarana Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Matoanteny Mpisolo
"""Ary Andriamanitra nanao ny bibi-dia, samy araka ny karazany avy, sy ny biby fiompy, samy araka ny karazany avy, ary ny biby rehetra izay mandady na mikisaka amin'ny tany, samy araka ny karazany avy.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Anarana Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Anarana Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra
"""Ary hitan'Andriamanitra fa tsara izany.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Mpisolo
"""Ary Andriamanitra nanao hoe: Andeha Isika hamorona olona tahaka ny endritsika, araka ny tarehintsika ; ary aoka izy hanjaka amin'ny hazandrano ao amin'ny ranomasina sy ny voro-manidina sy ny biby fiompy sy ny tany rehetra ary ny biby rehetra izay mandady na mikisaka amin'ny tany.""",Mpampitohy Anarana Matoanteny Tambinteny Matoanteny Mpisolo Matoanteny Anarana Mpamaritra Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpampitohy Tenim-piotanana Mpisolo Matoanteny Mpampiankina Mpanoritra Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Anarana Mpampitohy Mpanoritra Anarana Anarana Mpampitohy Mpanoritra Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Kianteny Matoanteny Mpampiankina Mpanoritra Anarana  
"""Ary Andriamanitra nahary ny olona tahaka ny endriny; tahaka ny endrik'Andriamanitra no namoronany azy; lahy sy vavy no namoronany azy.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpamaritra Mpanoritra Anarana Mpamaritra Mpanoritra Anarana Anarana Kianteny Matoanteny Mpisolo Anarana Mpampitohy Anarana Kianteny Matoanteny Mpisolo
"""Ary Andriamanitra nitso-drano azy hoe: Maroa fara sy mihabetsaha ary mamenoa ny tany, ka mampanompoa azy; ary manjaka amin'ny hazandrano ao amin'ny ranomasina sy ny voro-manidina ary ny biby rehetra izay mihetsiketsika ambonin'ny tany.""",Mpampitohy Anarana Matoanteny Anarana Mpisolo Tambinteny Matoanteny Anarana Mpampitohy Matoanteny Mpampitohy Matoanteny Mpanoritra Anarana Kianteny Matoanteny Mpisolo Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Matoanteny Mpampitohy Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Tambinteny Mpanoritra Anarana
